groupId,artifactId,version,count
org.springframework,spring-aop,5.1.13.RELEASE,36
javax.annotation,javax.annotation-api,1.2,35
org.glassfish.jersey.core,jersey-common,2.27,34
com.alibaba,fastjson,1.2.62,33
io.netty,netty-common,4.1.45.Final,32
org.glassfish.jersey.core,jersey-client,2.27,31
org.apache.httpcomponents,httpclient,4.5.9,30
org.glassfish.jersey.core,jersey-server,2.27,29
org.codehaus.mojo,animal-sniffer-annotations,1.17,27
com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.10.0,25
org.glassfish.jersey.containers,jersey-container-servlet,2.27,24
javax.servlet,javax.servlet-api,3.1.0,23
org.xerial.snappy,snappy-java,1.1.7.3,22
org.glassfish.hk2.external,javax.inject,2.5.0-b42,19
com.fasterxml.jackson.core,jackson-annotations,2.10.0,18
org.glassfish.hk2,osgi-resource-locator,1.0.1,17
io.netty,netty-all,4.1.45.Final,16
org.apache.hadoop,hadoop-hdfs,3.1.1,15
org.javassist,javassist,6.4.0,14
commons-io,commons-io,2.6,13
org.apache.spark,spark-unsafe_2.11,2.3.2,12
org.slf4j,slf4j-api,1.7.26,11
javax.inject,javax.inject,1,10
org.jboss.logging,jboss-logging,3.3.2.Final,9
commons-cli,commons-cli,7.1,8
org.mybatis,mybatis,3.4.6,7
org.apache.kafka,kafka-clients,0.10.0.1,6
io.swagger,swagger-core,1.5.21,5
org.mybatis,mybatis-spring,1.3.1,4
commons-beanutils,commons-beanutils,1.9.3,3
javax.xml.stream,stax-api,1.0-2,2
org.aopalliance,com.springsource.org.aopalliance,1.0,1
