fromId,truthCount,totalCount,percent
97,3,45,0.06666666666666667
85,1,4,0.25
149,0,1,0.0
8,1,16,0.0625
25,4,38,0.10526315789473684
60218,0,16,0.0
44,1,16,0.0625
156,0,1,0.0
60591,3,16,0.1875
495,0,45,0.0
79,0,1,0.0
211,0,35,0.0
5,0,8,0.0
902,0,33,0.0
41,2,25,0.08
10,0,37,0.0
47,0,45,0.0
213,1,13,0.07692307692307693
61286,0,1,0.0
135,1,4,0.25
25,0,4,0.0
57,0,5,0.0
284,1,20,0.05
44,0,8,0.0
47,1,19,0.05263157894736842
97,0,21,0.0
5,0,21,0.0
8,0,21,0.0
25,0,21,0.0
60218,0,8,0.0
44,0,21,0.0
60365,0,21,0.0
1,2,20,0.1
62466,0,1,0.0
197,0,2,0.0
5,0,13,0.0
61094,3,12,0.25
60232,2,23,0.08695652173913043
10,1,16,0.0625
266,0,23,0.0
107,1,7,0.14285714285714285
300,0,11,0.0
62317,0,8,0.0
79,0,3,0.0
273,0,11,0.0
60474,1,1,1.0
60218,2,26,0.07692307692307693
123,0,5,0.0
669,0,5,0.0
382,2,20,0.1
60724,1,7,0.14285714285714285
62277,0,5,0.0
57,0,6,0.0
60474,1,1,1.0
266,0,7,0.0
60218,0,5,0.0
413,0,9,0.0
495,0,2,0.0
51,0,10,0.0
60981,4,8,0.5
60378,1,1,1.0
60591,2,5,0.4
60577,0,34,0.0
1,1,1,1.0
66288,1,40,0.025
213,1,2,0.5
662,2,6,0.3333333333333333
8,2,12,0.16666666666666666
60264,1,19,0.05263157894736842
60536,1,3,0.3333333333333333
25,1,22,0.045454545454545456
44,1,27,0.037037037037037035
1573,1,2,0.5
69,0,1,0.0
64,1,24,0.041666666666666664
60512,1,9,0.1111111111111111
498,0,9,0.0
260,0,7,0.0
197,2,16,0.125
5,0,14,0.0
663,0,14,0.0
31,0,7,0.0
60264,0,27,0.0
296,0,27,0.0
61737,0,27,0.0
135,0,3,0.0
60792,0,5,0.0
60328,3,33,0.09090909090909091
10,0,15,0.0
60801,0,5,0.0
145,0,7,0.0
61059,4,191,0.020942408376963352
60724,0,5,0.0
135,0,46,0.0
60423,4,261,0.01532567049808429
60264,0,36,0.0
60328,4,197,0.02030456852791878
10,0,9,0.0
60367,0,58,0.0
5,0,11,0.0
5,0,2,0.0
31,1,1,1.0
197,0,8,0.0
41,0,8,0.0
60435,1,1,1.0
196,1,3,0.3333333333333333
5,0,28,0.0
280,0,28,0.0
60536,1,2,0.5
47,0,28,0.0
85,0,2,0.0
5,0,7,0.0
149,1,9,0.1111111111111111
123,1,26,0.038461538461538464
622,0,10,0.0
51,1,15,0.06666666666666667
5,0,18,0.0
230,0,6,0.0
215,0,7,0.0
10,0,1,0.0
31,1,6,0.16666666666666666
47,0,5,0.0
213,0,3,0.0
61318,1,17,0.058823529411764705
31,0,9,0.0
60367,0,3,0.0
66288,1,19,0.05263157894736842
1,0,3,0.0
97,0,12,0.0
290,0,12,0.0
60423,0,12,0.0
60328,0,12,0.0
8,0,12,0.0
107,0,7,0.0
61516,0,17,0.0
300,0,1,0.0
60207,0,10,0.0
669,1,55,0.01818181818181818
94,0,10,0.0
60447,0,7,0.0
1,0,2,0.0
300,0,2,0.0
97,0,1,0.0
1,3,29,0.10344827586206896
60423,1,29,0.034482758620689655
60328,1,29,0.034482758620689655
60264,4,29,0.13793103448275862
8,0,13,0.0
44,0,1,0.0
60365,0,13,0.0
60470,2,23,0.08695652173913043
25,0,1,0.0
60378,1,13,0.07692307692307693
284,0,13,0.0
31,1,29,0.034482758620689655
61031,0,10,0.0
47,0,2,0.0
1,3,25,0.12
196,0,5,0.0
60902,0,1,0.0
60647,0,25,0.0
60232,1,71,0.014084507042253521
362,0,77,0.0
44,2,88,0.022727272727272728
111,0,6,0.0
60591,0,1,0.0
79,0,3,0.0
60819,3,16,0.1875
83,0,9,0.0
60470,4,20,0.2
280,0,38,0.0
25,4,88,0.045454545454545456
60378,1,5,0.2
60218,0,33,0.0
156,0,59,0.0
382,2,15,0.13333333333333333
60447,0,1,0.0
145,0,3,0.0
60328,0,3,0.0
273,0,10,0.0
60979,0,11,0.0
85,1,2,0.5
60423,2,13,0.15384615384615385
61516,0,8,0.0
604,0,15,0.0
230,0,17,0.0
232,0,33,0.0
60936,1,42,0.023809523809523808
264,1,12,0.08333333333333333
10,0,8,0.0
267,0,11,0.0
44,0,4,0.0
268,0,42,0.0
60591,3,39,0.07692307692307693
60367,0,42,0.0
495,2,43,0.046511627906976744
60207,3,93,0.03225806451612903
60435,0,42,0.0
60724,1,42,0.023809523809523808
149,1,2,0.5
60470,5,62,0.08064516129032258
62359,0,42,0.0
57,0,38,0.0
31,0,3,0.0
25,0,1,0.0
64,0,6,0.0
5,1,11,0.09090909090909091
25,1,9,0.1111111111111111
60435,0,1,0.0
186,0,1,0.0
15,1,3,0.3333333333333333
51,0,5,0.0
260,0,3,0.0
196,0,3,0.0
5,0,7,0.0
230,1,9,0.1111111111111111
90,0,5,0.0
79,0,1,0.0
192,0,4,0.0
5,0,4,0.0
197,1,20,0.05
61094,0,27,0.0
382,0,6,0.0
135,1,3,0.3333333333333333
61031,0,6,0.0
621,0,2,0.0
60207,0,2,0.0
60435,0,6,0.0
60423,0,2,0.0
41,1,1,1.0
60218,0,44,0.0
60801,0,2,0.0
230,0,6,0.0
60474,1,1,1.0
179,0,9,0.0
196,0,18,0.0
60423,3,25,0.12
60328,3,24,0.125
60577,0,7,0.0
60328,0,11,0.0
10,0,16,0.0
60447,0,2,0.0
60367,0,5,0.0
5,0,19,0.0
8,0,15,0.0
64972,1,34,0.029411764705882353
44,1,18,0.05555555555555555
622,1,30,0.03333333333333333
79,1,9,0.1111111111111111
60591,3,39,0.07692307692307693
60207,0,9,0.0
562,1,3,0.3333333333333333
370,1,51,0.0196078431372549
83,2,15,0.13333333333333333
60981,3,32,0.09375
213,0,27,0.0
60823,0,4,0.0
280,0,21,0.0
60536,0,18,0.0
25,1,18,0.05555555555555555
156,1,22,0.045454545454545456
31,0,21,0.0
16,2,37,0.05405405405405406
97,1,13,0.07692307692307693
1,9,77,0.11688311688311688
5,0,88,0.0
60470,4,30,0.13333333333333333
25,6,52,0.11538461538461539
44,1,18,0.05555555555555555
60591,4,10,0.4
111,0,4,0.0
15,0,57,0.0
60801,1,1,1.0
290,0,8,0.0
87,0,1,0.0
60328,2,20,0.1
288,0,4,0.0
5,0,4,0.0
31,0,3,0.0
498,0,21,0.0
196,2,43,0.046511627906976744
63895,0,6,0.0
264,0,13,0.0
296,0,21,0.0
280,0,9,0.0
57,0,29,0.0
205,0,21,0.0
189,0,21,0.0
94,0,21,0.0
66288,0,17,0.0
5,0,25,0.0
62806,1,25,0.04
662,0,5,0.0
41,0,9,0.0
25,0,25,0.0
10,2,25,0.08
94,0,19,0.0
31,0,25,0.0
192,0,4,0.0
5,0,5,0.0
10,0,5,0.0
382,0,6,0.0
69,1,99,0.010101010101010102
197,0,58,0.0
5,1,324,0.0030864197530864196
8,6,119,0.05042016806722689
10,0,28,0.0
266,0,82,0.0
267,1,184,0.005434782608695652
60365,0,83,0.0
7631,1,115,0.008695652173913044
83,0,97,0.0
25,4,98,0.04081632653061224
90,0,2,0.0
1500,0,111,0.0
156,0,28,0.0
669,0,86,0.0
288,0,195,0.0
97,0,1,0.0
5284,0,17,0.0
997,0,28,0.0
871,0,109,0.0
44,0,98,0.0
47,1,82,0.012195121951219513
60207,1,235,0.00425531914893617
60536,0,28,0.0
57,0,98,0.0
60218,0,172,0.0
189,0,27,0.0
69,0,1,0.0
60824,0,1,0.0
5,0,11,0.0
61318,2,44,0.045454545454545456
25,5,50,0.1
10,0,5,0.0
44,2,41,0.04878048780487805
60207,1,8,0.125
1,1,3,0.3333333333333333
60264,0,1,0.0
5,0,3,0.0
955,0,3,0.0
66288,1,13,0.07692307692307693
370,0,3,0.0
179,0,3,0.0
135,0,15,0.0
60218,0,3,0.0
362,0,3,0.0
123,0,3,0.0
60207,1,15,0.06666666666666667
756,0,4,0.0
5,0,2,0.0
230,3,13,0.23076923076923078
61320,0,3,0.0
111,0,1,0.0
31,5,17,0.29411764705882354
232,1,16,0.0625
205,0,11,0.0
60577,0,113,0.0
5,0,31,0.0
135,0,1,0.0
232,1,47,0.02127659574468085
8,1,7,0.14285714285714285
41,1,13,0.07692307692307693
10,5,57,0.08771929824561403
44,0,7,0.0
60591,0,23,0.0
60207,2,53,0.03773584905660377
66288,1,15,0.06666666666666667
662,0,7,0.0
25,0,52,0.0
62206,1,53,0.018867924528301886
1182,0,2,0.0
60264,0,3,0.0
44,1,8,0.125
62302,1,19,0.05263157894736842
498,1,1,1.0
5,0,33,0.0
37,0,50,0.0
60328,0,2,0.0
60264,2,28,0.07142857142857142
60232,3,64,0.046875
10,3,55,0.05454545454545454
