fromId,toId,fromGroupArtifact,toGroupArtifact,isCorrect,confidence,ruleFreq,relativeRuleFreq,concurrence,concurrenceAdjustment,commitDistance,apiSupport
401,515,antlr:antlr,io.micrometer:micrometer-core,false,0.47805665382315393,21,0.7241379310344828,24,0.875,0.95452918009309,0.6
401,7721,antlr:antlr,com.google.protobuf:protobuf-gradle-plugin,false,0.26528898315170735,19,0.6551724137931034,22,0.8636363636363636,0.75,0.6
401,101,antlr:antlr,org.eclipse.jetty:jetty-server,false,0.2492112534887228,24,0.8275862068965517,53,0.4528301886792453,0.7600734233087176,0.6
401,72,antlr:antlr,org.eclipse.jetty:jetty-webapp,false,0.13002906623605584,22,0.7586206896551724,55,0.4,0.5915004372631489,0.6
401,6166,antlr:antlr,org.hibernate:hibernate-annotations,false,0.06146590250553163,16,0.5517241379310345,79,0.20253164556962025,0.5653209805427547,0.6
401,10241,antlr:antlr,javax.persistence:persistence-api,false,0.06045575158567441,17,0.5862068965517241,95,0.17894736842105263,0.5610146586227379,0.6
401,12317,antlr:antlr,org.jboss.spec.javax.annotation:jboss-annotations-api_1.2_spec,false,0.05864935945160965,9,0.3103448275862069,23,0.391304347826087,0.6245150372602578,0.6
401,127,antlr:antlr,org.javassist:javassist,false,0.05011136468947993,29,1.0,183,0.15846994535519127,0.4031285676051989,0.6
401,932,antlr:antlr,javax.servlet:javax.servlet-api,false,0.04700033477367401,20,0.6896551724137931,129,0.15503875968992248,0.4727010781429276,0.6
401,1566,antlr:antlr,org.osgi:org.osgi.core,false,0.044974187341232624,13,0.4482758620689655,68,0.19117647058823528,0.5442677013576432,0.6
401,10,antlr:antlr,junit:junit,false,0.04075087369506618,25,0.8620689655172413,396,0.06313131313131314,0.49283147726598836,0.6
401,1027,antlr:antlr,org.jboss.weld.se:weld-se-core,false,0.03965359078051451,8,0.27586206896551724,25,0.32,0.5727564102564102,0.6
401,5,antlr:antlr,org.hibernate:hibernate-core,false,0.03947800914859921,23,0.7931034482758621,275,0.08363636363636363,0.4713853753357918,0.6
401,11912,antlr:antlr,org.hibernate:hibernate,false,0.03632393081665795,14,0.4827586206896552,81,0.1728395061728395,0.48337349649288214,0.6
401,3304,antlr:antlr,org.drools:knowledge-api,false,0.03289017434874879,8,0.27586206896551724,21,0.38095238095238093,0.43951066728061083,1.0
401,1042,antlr:antlr,javax.enterprise:cdi-api,false,0.028806863501757908,11,0.3793103448275862,72,0.1527777777777778,0.5008385897224372,0.6
401,2,antlr:antlr,org.springframework:spring-context,false,0.02863403737528886,18,0.6206896551724138,224,0.08035714285714286,0.4583635832506908,0.6
401,33,antlr:antlr,ch.qos.logback:logback-classic,false,0.026694101531447436,14,0.4827586206896552,83,0.1686746987951807,0.4169100234656139,0.6
401,5259,antlr:antlr,postgresql:postgresql,false,0.026581808443011876,9,0.3103448275862069,66,0.13636363636363635,0.5472144413320884,0.6
401,3,antlr:antlr,org.springframework:spring-tx,false,0.025972540004588367,15,0.5172413793103449,170,0.08823529411764706,0.4671562723422978,0.6
401,288,antlr:antlr,org.apache.commons:commons-lang3,false,0.025114335267909883,17,0.5862068965517241,130,0.13076923076923078,0.39108501642294247,0.6
401,38657,antlr:antlr,javax.ejb:ejb-api,false,0.02413365777662695,9,0.3103448275862069,53,0.16981132075471697,0.493582606054002,0.6
401,15,antlr:antlr,org.springframework:spring-orm,false,0.019555591268067697,12,0.41379310344827586,171,0.07017543859649122,0.47990995097383177,0.6
401,18,antlr:antlr,org.springframework:spring-test,false,0.017061966273992202,13,0.4482758620689655,170,0.07647058823529412,0.42153189613525244,0.6
401,998,antlr:antlr,org.antlr:antlr,true,0.01670502039611562,8,0.27586206896551724,36,0.2222222222222222,0.4072328712953713,0.6
401,9,antlr:antlr,com.google.guava:guava,false,0.016612984596995176,14,0.4827586206896552,163,0.08588957055214724,0.38934615655516774,0.6
401,12,antlr:antlr,org.slf4j:slf4j-api,false,0.0163124594696915,17,0.5862068965517241,348,0.04885057471264368,0.40316147841953437,0.6
401,914,antlr:antlr,commons-collections:commons-collections,false,0.015056829619142691,15,0.5172413793103449,407,0.036855036855036855,0.44244379867436545,0.6
401,456,antlr:antlr,com.sun.mail:javax.mail,false,0.014971100135621833,9,0.3103448275862069,44,0.20454545454545456,0.3710815235316424,0.6
401,953,antlr:antlr,commons-lang:commons-lang,false,0.014849291214999257,16,0.5517241379310345,300,0.05333333333333334,0.3878862415101629,0.6
401,16,antlr:antlr,org.springframework:spring-jdbc,false,0.01462541563308396,11,0.3793103448275862,151,0.0728476821192053,0.42945238382071854,0.6
401,5985,antlr:antlr,javassist:javassist,false,0.014526435369558208,15,0.5172413793103449,148,0.10135135135135136,0.3374719640159543,0.6
401,614,antlr:antlr,org.hibernate:hibernate-infinispan,false,0.014378787634120913,8,0.27586206896551724,43,0.18604651162790697,0.3949771254113162,0.6
401,12178,antlr:antlr,org.codehaus.woodstox:woodstox-core-asl,false,0.01291924304898009,8,0.27586206896551724,76,0.10526315789473684,0.4316836782603983,0.6
401,39977,antlr:antlr,xml-apis:xml-apis,false,0.01276975211195017,16,0.5517241379310345,113,0.1415929203539823,0.24801037910906729,1.0
401,1621,antlr:antlr,org.ow2.asm:asm,false,0.012193609681165816,8,0.27586206896551724,30,0.26666666666666666,0.3324223033064497,0.6
401,264,antlr:antlr,xerces:xercesImpl,false,0.01216835756339239,12,0.41379310344827586,148,0.08108108108108109,0.3651376886269013,0.6
