Unnamed: 0,fromLibrary,toLibrary,fromGroupArtifact,toGroupArtifact,inDepSeq,dataConfirmed
2566,mockito,jmockit,org.mockito:mockito-core,mockit:jmockit,0,False
2567,mockito,powermock,org.mockito:mockito-all,org.powermock:powermock-core,35,True
2568,mockito,hamcrest,org.mockito:mockito-core,org.hamcrest:java-hamcrest,22,False
2569,mockito,mockobjects,org.mockito:mockito-all,mockobjects:mockobjects-core,31,False
2570,mockito,powermock,org.mockito:mockito-all,org.powermock:powermock-api-mockito,297,True
2571,mockito,hamcrest,org.mockito:mockito-core,org.hamcrest:hamcrest-all,410,False
2572,mockito,hamcrest,org.mockito:mockito-all,org.hamcrest:hamcrest-library,363,True
2573,mockito,jmock,org.mockito:mockito-all,jmock:jmock,3,False
2574,mockito,jmock,org.mockito:mockito-core,jmock:jmock,6,False
2575,mockito,jmock,org.mockito:mockito-core,org.jmock:jmock-junit4,12,True
2576,mockito,hamcrest,org.mockito:mockito-core,org.hamcrest:hamcrest-library,338,False
2577,mockito,fest,org.mockito:mockito-core,org.easytesting:fest-assert-core,25,False
2578,mockito,jmockit,org.mockito:mockito-all,mockit:jmockit,0,False
2579,mockito,powermock,org.mockito:mockito-core,org.powermock:powermock-api,0,False
2580,mockito,hamcrest,org.mockito:mockito-all,org.hamcrest:java-hamcrest,50,True
2581,mockito,jmock,org.mockito:mockito-core,org.jmock:jmock,14,False
2582,mockito,easymock,org.mockito:mockito-all,easymock:easymock,5,False
2583,mockito,jmockit,org.mockito:mockito-core,org.jmockit:jmockit,12,False
2584,mockito,jmockit,org.mockito:mockito-core,com.googlecode.jmockit:jmockit,1,False
2585,mockito,mockobjects,org.mockito:mockito-all,mockobjects:mockobjects,0,False
2586,mockito,powermock,org.mockito:mockito-core,org.powermock:powermock-core,57,True
2587,mockito,powermock,org.mockito:mockito-all,org.powermock:powermock-api,0,False
2588,mockito,powermock,org.mockito:mockito-core,org.powermock:powermock,4,False
2589,mockito,hamcrest,org.mockito:mockito-all,org.hamcrest:hamcrest,31,True
2590,mockito,mockobjects,org.mockito:mockito-core,mockobjects:mockobjects,0,False
2591,mockito,hamcrest,org.mockito:mockito-core,org.hamcrest:hamcrest,6,False
2592,mockito,hamcrest,org.mockito:mockito-all,org.hamcrest:hamcrest-all,481,True
