fromId,toId,fromGroupArtifact,toGroupArtifact,isCorrect,confidence,ruleFreq,relativeRuleFreq,concurrence,concurrenceAdjustment,commitDistance,apiSupport
401,70,antlr:antlr,mysql:mysql-connector-java,false,0.040774046413461065,8,1.0,187,0.0427807486631016,0.5044777294777294,0.6
401,171,antlr:antlr,log4j:log4j,false,0.013215571435512198,8,1.0,235,0.03404255319148936,0.3040882431561237,0.6
401,10,antlr:antlr,junit:junit,false,0.008195320403628789,8,1.0,343,0.023323615160349854,0.26320624496660194,0.6
401,953,antlr:antlr,commons-lang:commons-lang,false,0.007391769100525713,8,1.0,141,0.05673758865248227,0.20015602378381997,0.6
401,125,antlr:antlr,dom4j:dom4j,false,0.0024496055368275027,8,1.0,254,0.031496062992125984,0.13348922058196805,0.6
352,403,args4j:args4j,commons-io:commons-io,false,0.05164887166401655,8,1.0,68,0.11764705882352941,0.44090734929207415,0.6
352,10,args4j:args4j,junit:junit,false,0.02234280580685769,8,1.0,192,0.041666666666666664,0.375909977703456,0.6
3995,1621,asm:asm,org.ow2.asm:asm,true,0.5016750671522996,37,1.0,49,0.7551020408163265,0.8633204633204634,0.6
3995,4012,asm:asm,org.ow2.asm:asm-commons,true,0.24305570054009132,15,0.40540540540540543,22,0.6818181818181818,0.8521008403361344,1.0
3995,26,asm:asm,com.fasterxml.jackson.core:jackson-databind,false,0.036781374048978396,15,0.40540540540540543,66,0.22727272727272727,0.4956722018951121,0.6
3995,51,asm:asm,com.fasterxml.jackson.core:jackson-core,false,0.02935014669365396,10,0.2702702702702703,31,0.3225806451612903,0.4968309141838554,0.6
3995,21,asm:asm,org.mockito:mockito-all,false,0.022181040282863888,13,0.35135135135135137,101,0.12871287128712872,0.4766250171696927,0.6
3995,9,asm:asm,com.google.guava:guava,false,0.021994013491488072,15,0.40540540540540543,145,0.10344827586206896,0.46664739874805145,0.6
3995,10,asm:asm,junit:junit,false,0.019971779633638078,24,0.6486486486486487,446,0.053811659192825115,0.41394888350383713,0.6
3995,2486,asm:asm,javax.servlet:servlet-api,false,0.018732362949677766,12,0.32432432432432434,221,0.05429864253393665,0.5656808349569885,0.6
3995,74,asm:asm,com.google.inject:guice,true,0.018724634213934,8,0.21621621621621623,44,0.18181818181818182,0.5120535714285714,0.6
3995,999,asm:asm,org.apache.maven:maven-plugin-api,false,0.017629281361584596,17,0.4594594594594595,91,0.18681318681318682,0.3385353394354329,0.6
3995,165,asm:asm,org.codehaus.plexus:plexus-utils,false,0.015730284356774427,11,0.2972972972972973,51,0.21568627450980393,0.3835123610407946,0.6
3995,2432,asm:asm,org.apache.maven:maven-project,false,0.014854238890114651,12,0.32432432432432434,67,0.1791044776119403,0.37378426711565976,0.6
3995,1042,asm:asm,javax.enterprise:cdi-api,false,0.014629533420873342,9,0.24324324324324326,33,0.2727272727272727,0.38558922558922554,0.6
3995,932,asm:asm,javax.servlet:javax.servlet-api,false,0.014618411851327976,8,0.21621621621621623,65,0.12307692307692308,0.4987971863386503,0.6
3995,2277,asm:asm,javax.inject:javax.inject,true,0.014218284794841581,8,0.21621621621621623,64,0.125,0.4900203962703963,0.6
3995,288,asm:asm,org.apache.commons:commons-lang3,false,0.011677466035584153,9,0.24324324324324326,96,0.09375,0.44990755082498196,0.6
3995,39977,asm:asm,xml-apis:xml-apis,false,0.011458873434875632,8,0.21621621621621623,39,0.20512820512820512,0.388671478372707,0.6
3995,888,asm:asm,commons-dbcp:commons-dbcp,false,0.011364277344553876,9,0.24324324324324326,148,0.060810810810810814,0.49455831524797045,0.6
3995,101,asm:asm,org.eclipse.jetty:jetty-server,false,0.01109088488789652,8,0.21621621621621623,32,0.25,0.3639285714285714,0.6
3995,11,asm:asm,org.mockito:mockito-core,false,0.010976853890573427,10,0.2702702702702703,73,0.136986301369863,0.37638534576864746,0.6
3995,1026,asm:asm,commons-cli:commons-cli,false,0.010452865842854472,8,0.21621621621621623,55,0.14545454545454545,0.40453296703296704,0.6
3995,953,asm:asm,commons-lang:commons-lang,false,0.010392840190368829,13,0.35135135135135137,186,0.06989247311827956,0.3800588902292569,0.6
3995,403,asm:asm,commons-io:commons-io,false,0.009694059997527678,17,0.4594594594594595,191,0.08900523560209424,0.3021604035628151,0.6
3995,76,asm:asm,joda-time:joda-time,false,0.009402339056566292,13,0.35135135135135137,92,0.14130434782608695,0.30315898624682747,0.6
3995,3402,asm:asm,org.apache.maven.plugin-tools:maven-plugin-annotations,false,0.009396516570130894,8,0.21621621621621623,32,0.25,0.3349781623446672,0.6
3995,154,asm:asm,commons-codec:commons-codec,false,0.009163260556926702,16,0.43243243243243246,140,0.11428571428571428,0.2844658187620989,0.6
3995,280,asm:asm,javax.mail:mail,false,0.008825540271510167,9,0.24324324324324326,99,0.09090909090909091,0.39414917013256723,0.6
3995,654,asm:asm,org.apache.velocity:velocity,false,0.008793515943200325,8,0.21621621621621623,45,0.17777777777777778,0.35288237304491177,0.6
3995,533,asm:asm,org.codehaus.jackson:jackson-mapper-asl,false,0.008786412436035363,11,0.2972972972972973,101,0.10891089108910891,0.340020163341821,0.6
3995,86,asm:asm,org.apache.httpcomponents:httpclient,false,0.008448232775869998,14,0.3783783783783784,91,0.15384615384615385,0.27108800814071576,0.6
3995,44,asm:asm,org.codehaus.groovy:groovy-all,true,0.00771476819408651,8,0.21621621621621623,73,0.1095890410958904,0.37302480747100997,0.6
3995,132,asm:asm,org.apache.maven:maven-core,false,0.007651184412431435,13,0.35135135135135137,40,0.325,0.22206743071053037,0.6
