fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
commons-logging,slf4j,61,commons-logging:commons-logging,org.slf4j:jcl-over-slf4j;org.slf4j:slf4j-nop;org.slf4j:slf4j-jcl;org.slf4j:slf4j-simple;org.slf4j:slf4j-ext;org.slf4j:slf4j-api;org.slf4j:slf4j-jdk14;org.slf4j:slf4j-log4j12;org.slf4j:slf4j-site;org.slf4j:slf4j-android;org.apache.logging.log4j:log4j-slf4j-impl;commons-logging:commons-logging-api;org.slf4j:log4j-over-slf4j
commons-logging,log4j,17,commons-logging:commons-logging,org.apache.logging.log4j:log4j-core;commons-logging:commons-logging;commons-logging:commons-logging-api;log4j:log4j;org.apache.logging.log4j:log4j-api
commons-logging,logback,9,commons-logging:commons-logging,ch.qos.logback:logback-classic;ch.qos.logback:logback-core;commons-logging:commons-logging;commons-logging:commons-logging-api
compress-lzf,shrinkwrap,1,com.ning:compress-lzf,com.ning:compress-lzf;org.jboss.shrinkwrap:shrinkwrap-api
compress-lzf,jzlib,1,com.ning:compress-lzf,com.ning:compress-lzf;com.jcraft:jzlib
compress-lzf,commons-compress,1,com.ning:compress-lzf,com.ning:compress-lzf;org.apache.commons:commons-compress
concurrent,backport-util-concurrent,1,concurrent:concurrent;com.facebook.airlift:concurrent;io.airlift:concurrent,concurrent:concurrent;com.facebook.airlift:concurrent;backport-util-concurrent:backport-util-concurrent;io.airlift:concurrent
db4o,leveldb,1,,org.dellroad:leveldb;org.dellroad:leveldb-api;org.iq80.leveldb:leveldb-api;org.iq80.leveldb:leveldb
db4o,h2,1,,com.h2database:h2
derby,h2,4,org.apache.derby:derbyclient;org.apache.derby:derby,org.apache.derby:derbyclient;com.h2database:h2;org.apache.derby:derby
derby,postgresql,3,org.apache.derby:derbyclient;org.apache.derby:derby,org.apache.derby:derbyclient;postgresql:postgresql;org.postgresql:postgresql;org.apache.derby:derby
derby,hazelcast,2,org.apache.derby:derbyclient;org.apache.derby:derby,com.hazelcast:hazelcast-client;org.apache.derby:derbyclient;com.hazelcast:hazelcast;org.apache.derby:derby
derby,sqlite-jdbc,1,org.apache.derby:derbyclient;org.apache.derby:derby,org.wisdom-framework:sqlite-jdbc;org.apache.derby:derbyclient;org.xerial:sqlite-jdbc;org.apache.derby:derby
derby,hsqldb,1,org.apache.derby:derbyclient;org.apache.derby:derby,org.apache.derby:derbyclient;org.hsqldb:hsqldb;org.apache.derby:derby;hsqldb:hsqldb
derby,hbase,1,org.apache.derby:derbyclient;org.apache.derby:derby,org.apache.derby:derbyclient;org.apache.hbase:hbase;org.apache.hbase:hbase-server;org.apache.hbase:hbase-client;org.apache.derby:derby
dom4j,xmlParserAPIs,3,org.dom4j:dom4j;dom4j:dom4j,org.dom4j:dom4j;xerces:xmlParserAPIs;dom4j:dom4j;xml-apis:xmlParserAPIs
