fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
jettison,jackson,7,org.codehaus.jettison:jettison,org.codehaus.jettison:jettison;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
jettison,org.json,1,org.codehaus.jettison:jettison,org.codehaus.jettison:jettison;org.json:json
jettison,json-simple,1,org.codehaus.jettison:jettison,org.codehaus.jettison:jettison;com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple
jettison,json-lib,1,org.codehaus.jettison:jettison,org.codehaus.jettison:jettison;com.hynnet:json-lib;org.kohsuke.stapler:json-lib;net.sf.json-lib:json-lib
jgoodies,miglayout,3,com.jgoodies:jgoodies-forms;com.jgoodies:jgoodies-common,com.jgoodies:jgoodies-forms;com.miglayout:miglayout;com.jgoodies:jgoodies-common
jgoodies,swingx,2,com.jgoodies:jgoodies-forms;com.jgoodies:jgoodies-common,org.swinglabs.swingx:swingx-core;com.jgoodies:jgoodies-forms;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx;org.swinglabs:swingx-core;com.jgoodies:jgoodies-common
jgoodies,swing-layout,1,com.jgoodies:jgoodies-forms;com.jgoodies:jgoodies-common,com.jgoodies:jgoodies-forms;org.swinglabs:swing-layout;com.jgoodies:jgoodies-common
jgoodies,jxlayer,1,com.jgoodies:jgoodies-forms;com.jgoodies:jgoodies-common,com.jgoodies:jgoodies-forms;org.swinglabs:jxlayer;com.jgoodies:jgoodies-common
jgrapht,jung,1,jgrapht:jgrapht;org.jgrapht:jgrapht-core,net.sf.jung:jung-api;org.jgrapht:jgrapht;org.javabits.jgrapht:jgrapht;jgrapht:jgrapht;org.jgrapht:jgrapht-core
jgraphx,jung,1,org.tinyjee.jgraphx:jgraphx,net.sf.jung:jung-api;org.tinyjee.jgraphx:jgraphx;com.github.monkeysintown:jgraphx
jgraphx,jgoodies,1,org.tinyjee.jgraphx:jgraphx,org.tinyjee.jgraphx:jgraphx;com.jgoodies:jgoodies-forms;com.github.monkeysintown:jgraphx;com.jgoodies:jgoodies-common
jibx,castor,1,org.jibx:jibx-run;org.jibx:jibx-extras;org.jibx:jibx-bind,org.jibx:jibx-run;org.codehaus.castor:castor-core;org.jibx:jibx-extras;org.codehaus.castor:castor;org.jibx:jibx-bind;org.jibx:jibx-tools;castor:castor;org.jibx:jibx-schema
jide-oss,wizard,1,com.jidesoft:jide-oss,com.jidesoft:jide-oss
jide-oss,swingx,1,com.jidesoft:jide-oss,org.swinglabs.swingx:swingx-core;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx;com.jidesoft:jide-oss;org.swinglabs:swingx-core
jide-oss,jgrapht,1,com.jidesoft:jide-oss,org.jgrapht:jgrapht;org.javabits.jgrapht:jgrapht;jgrapht:jgrapht;org.jgrapht:jgrapht-core;com.jidesoft:jide-oss
jline,jansi,1,org.jline:jline;jline:jline;org.sonatype.jline:jline,org.jline:jline;jline:jline;org.fusesource.jansi:jansi;org.sonatype.jline:jline
jline,args4j,1,org.jline:jline;jline:jline;org.sonatype.jline:jline,org.jline:jline;jline:jline;args4j:args4j;org.sonatype.jline:jline
jmock,mockito,6,org.jmock:jmock;jmock:jmock;org.jmock:jmock-junit4,org.jmock:jmock;jmock:jmock;org.jmock:jmock-junit4;org.mockito:mockito-core;org.mockito:mockito-all
jmock,hamcrest,2,org.jmock:jmock;jmock:jmock;org.jmock:jmock-junit4,org.jmock:jmock;org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;jmock:jmock;org.jmock:jmock-junit4;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest
jmock,easymock,1,org.jmock:jmock;jmock:jmock;org.jmock:jmock-junit4,org.jmock:jmock;jmock:jmock;org.jmock:jmock-junit4;org.easymock:easymock;easymock:easymock
jmockit,mockito,2,com.googlecode.jmockit:jmockit;mockit:jmockit;org.jmockit:jmockit,com.googlecode.jmockit:jmockit;mockit:jmockit;org.jmockit:jmockit;org.mockito:mockito-core;org.mockito:mockito-all
jmockit,powermock,1,com.googlecode.jmockit:jmockit;mockit:jmockit;org.jmockit:jmockit,com.googlecode.jmockit:jmockit;org.powermock:powermock;mockit:jmockit;org.powermock:powermock-api-mockito;org.powermock:powermock-core;org.powermock:powermock-module-junit4;org.jmockit:jmockit;org.powermock:powermock-api
jmockit,hamcrest,1,com.googlecode.jmockit:jmockit;mockit:jmockit;org.jmockit:jmockit,com.googlecode.jmockit:jmockit;mockit:jmockit;org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;org.jmockit:jmockit;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest
jmockit,fest,1,com.googlecode.jmockit:jmockit;mockit:jmockit;org.jmockit:jmockit,com.googlecode.jmockit:jmockit;mockit:jmockit;org.easytesting:fest-assert-core;org.jmockit:jmockit;org.easytesting:fest-assert
joda-time,commons-lang,6,joda-time:joda-time,joda-time:joda-time;org.apache.commons:commons-lang3;commons-lang:commons-lang
joda-time,guava,3,joda-time:joda-time,joda-time:joda-time;com.google.guava:guava
joda-time,lambdaj,1,joda-time:joda-time,com.googlecode.lambdaj:lambdaj;joda-time:joda-time
joda-time,commons-collections,1,joda-time:joda-time,org.apache.commons:commons-collections4;joda-time:joda-time;commons-collections:commons-collections
jopt-simple,commons-cli,2,net.sf.jopt-simple:jopt-simple,net.sf.jopt-simple:jopt-simple;org.apache.mahout.commons:commons-cli;commons-cli:commons-cli
jopt-simple,jcommander,1,net.sf.jopt-simple:jopt-simple,de.weltraumschaf.commons:jcommander;net.sf.jopt-simple:jopt-simple;com.beust:jcommander
json-lib,jackson,11,net.sf.json-lib:json-lib,com.hynnet:json-lib;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;org.kohsuke.stapler:json-lib;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core;net.sf.json-lib:json-lib
json-lib,gson,5,net.sf.json-lib:json-lib,com.hynnet:json-lib;org.kohsuke.stapler:json-lib;com.google.code.gson:gson;net.sf.json-lib:json-lib
json-lib,org.json,2,net.sf.json-lib:json-lib,com.hynnet:json-lib;org.kohsuke.stapler:json-lib;org.json:json;net.sf.json-lib:json-lib
json-lib,xstream,1,net.sf.json-lib:json-lib,com.hynnet:json-lib;xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;org.kohsuke.stapler:json-lib;net.sf.json-lib:json-lib;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
json-lib,jsonic,1,net.sf.json-lib:json-lib,com.hynnet:json-lib;org.kohsuke.stapler:json-lib;net.arnx:jsonic;net.sf.json-lib:json-lib
json-lib,json-simple,1,net.sf.json-lib:json-lib,com.hynnet:json-lib;com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;org.kohsuke.stapler:json-lib;net.sf.json-lib:json-lib
json-lib,fastjson,1,net.sf.json-lib:json-lib,com.hynnet:json-lib;com.alibaba:fastjson;org.kohsuke.stapler:json-lib;net.sf.json-lib:json-lib
json-path,jackson,1,com.jayway.jsonpath:json-path,com.jayway.jsonpath:json-path;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.jayway.restassured:json-path;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core;io.paradoxical:json-path
json-simple,gson,8,com.googlecode.json-simple:json-simple,com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;com.google.code.gson:gson
json-simple,org.json,5,com.googlecode.json-simple:json-simple,com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;org.json:json
json-simple,jettison,5,com.googlecode.json-simple:json-simple,org.codehaus.jettison:jettison;com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple
json-simple,jackson,4,com.googlecode.json-simple:json-simple,com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
json-simple,xstream,1,com.googlecode.json-simple:json-simple,xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
json-simple,json-smart,1,com.googlecode.json-simple:json-simple,net.minidev:json-smart;com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple
json-simple,json-path,1,com.googlecode.json-simple:json-simple,com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;com.jayway.jsonpath:json-path;com.jayway.restassured:json-path;io.paradoxical:json-path
json-smart,json-simple,2,net.minidev:json-smart,net.minidev:json-smart;com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple
json-smart,jackson,1,net.minidev:json-smart,net.minidev:json-smart;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
jsoup,htmlunit,1,org.jsoup:jsoup,org.jsoup:jsoup;org.keycloak:keycloak-appliance-dist-all;htmlunit:htmlunit
jung,jgraphx,1,net.sf.jung:jung-api,net.sf.jung:jung-api;org.tinyjee.jgraphx:jgraphx;com.github.monkeysintown:jgraphx
jung,jgrapht,1,net.sf.jung:jung-api,net.sf.jung:jung-api;org.jgrapht:jgrapht;org.javabits.jgrapht:jgrapht;jgrapht:jgrapht;org.jgrapht:jgrapht-core
junit,testng,45,junit:junit,org.jboss.arquillian.junit:arquillian-junit-container;org.testng:testng;junit:junit;org.junit.jupiter:junit-jupiter-api;org.junit.vintage:junit-vintage-engine;org.junit.jupiter:junit-jupiter-engine
jwebunit,selenium,2,jwebunit:jwebunit,org.seleniumhq.selenium:selenium-java;org.seleniumhq.selenium:selenium-server;org.seleniumhq.selenium:selenium-api;jwebunit:jwebunit;net.sourceforge.jwebunit:jwebunit
jwebunit,httpunit,1,jwebunit:jwebunit,org.httpunit:httpunit;httpunit:httpunit;jwebunit:jwebunit;net.sourceforge.jwebunit:jwebunit
jxlayer,jgoodies,1,org.swinglabs:jxlayer,com.jgoodies:jgoodies-forms;org.swinglabs:jxlayer;com.jgoodies:jgoodies-common
jyaml,snakeyaml,2,org.jyaml:jyaml,org.jyaml:jyaml;org.yaml:snakeyaml
libreadline-java,java-getopt,1,org.aesh:aesh-readline,gnu.getopt:java-getopt;urbanophile:java-getopt;org.aesh:aesh-readline
log4j,slf4j,95,org.apache.logging.log4j:log4j-core;log4j:log4j;org.apache.logging.log4j:log4j-api,org.slf4j:jcl-over-slf4j;org.slf4j:slf4j-nop;org.slf4j:slf4j-jcl;org.slf4j:slf4j-simple;org.slf4j:slf4j-ext;org.slf4j:slf4j-api;org.slf4j:slf4j-jdk14;org.slf4j:slf4j-log4j12;org.slf4j:slf4j-site;org.apache.logging.log4j:log4j-api;org.slf4j:slf4j-android;org.apache.logging.log4j:log4j-slf4j-impl;org.apache.logging.log4j:log4j-core;log4j:log4j;org.slf4j:log4j-over-slf4j
log4j,logback,13,org.apache.logging.log4j:log4j-core;log4j:log4j;org.apache.logging.log4j:log4j-api,ch.qos.logback:logback-classic;ch.qos.logback:logback-core;org.apache.logging.log4j:log4j-core;log4j:log4j;org.apache.logging.log4j:log4j-api
log4j,commons-logging,12,org.apache.logging.log4j:log4j-core;log4j:log4j;org.apache.logging.log4j:log4j-api,org.apache.logging.log4j:log4j-core;commons-logging:commons-logging;commons-logging:commons-logging-api;log4j:log4j;org.apache.logging.log4j:log4j-api
logback,slf4j,2,ch.qos.logback:logback-classic;ch.qos.logback:logback-core,ch.qos.logback:logback-core;org.slf4j:jcl-over-slf4j;org.slf4j:slf4j-nop;org.slf4j:slf4j-jcl;org.slf4j:slf4j-simple;org.slf4j:slf4j-ext;org.slf4j:slf4j-api;org.slf4j:slf4j-jdk14;org.slf4j:slf4j-log4j12;org.slf4j:slf4j-site;org.slf4j:slf4j-android;ch.qos.logback:logback-classic;org.apache.logging.log4j:log4j-slf4j-impl;org.slf4j:log4j-over-slf4j
logback,log4j,1,ch.qos.logback:logback-classic;ch.qos.logback:logback-core,ch.qos.logback:logback-classic;ch.qos.logback:logback-core;org.apache.logging.log4j:log4j-core;log4j:log4j;org.apache.logging.log4j:log4j-api
lucene,elasticsearch,3,org.apache.lucene:lucene-core,org.apache.lucene:lucene-core;org.elasticsearch:elasticsearch-core;org.elasticsearch:elasticsearch
lucene,solr,1,org.apache.lucene:lucene-core,org.apache.lucene:lucene-core;org.apache.solr:solr
lwjgl,slick,1,org.lwjgl:lwjgl;org.lwjgl.lwjgl:lwjgl,org.slick2d:slick2d-core;org.lwjgl:lwjgl;org.lwjgl.lwjgl:lwjgl
lwjgl,jbullet,1,org.lwjgl:lwjgl;org.lwjgl.lwjgl:lwjgl,cz.advel.jbullet:jbullet;org.lwjgl:lwjgl;org.lwjgl.lwjgl:lwjgl
mahout,joda-time,1,org.apache.mahout:mahout-math;org.apache.mahout:mahout-core;org.apache.mahout:mahout-collections;org.apache.mahout:mahout,org.apache.mahout:mahout-math;joda-time:joda-time;org.apache.mahout:mahout-core;org.apache.mahout:mahout-collections;org.apache.mahout:mahout
mahout,guava,1,org.apache.mahout:mahout-math;org.apache.mahout:mahout-core;org.apache.mahout:mahout-collections;org.apache.mahout:mahout,org.apache.mahout:mahout-math;org.apache.mahout:mahout-core;org.apache.mahout:mahout-collections;com.google.guava:guava;org.apache.mahout:mahout
miglayout,swingx,1,com.miglayout:miglayout,org.swinglabs.swingx:swingx-core;com.miglayout:miglayout;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx;org.swinglabs:swingx-core
mockito,hamcrest,4,org.mockito:mockito-core;org.mockito:mockito-all,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest;org.mockito:mockito-core;org.mockito:mockito-all
mockito,jmock,3,org.mockito:mockito-core;org.mockito:mockito-all,org.jmock:jmock;jmock:jmock;org.jmock:jmock-junit4;org.mockito:mockito-core;org.mockito:mockito-all
mockito,jmockit,2,org.mockito:mockito-core;org.mockito:mockito-all,com.googlecode.jmockit:jmockit;mockit:jmockit;org.jmockit:jmockit;org.mockito:mockito-core;org.mockito:mockito-all
mockito,powermock,1,org.mockito:mockito-core;org.mockito:mockito-all,org.powermock:powermock;org.powermock:powermock-api-mockito;org.powermock:powermock-core;org.powermock:powermock-module-junit4;org.powermock:powermock-api;org.mockito:mockito-core;org.mockito:mockito-all
mockito,easymock,1,org.mockito:mockito-core;org.mockito:mockito-all,org.easymock:easymock;org.mockito:mockito-core;org.mockito:mockito-all;easymock:easymock
mockobjects,jmock,1,mockobjects:mockobjects-core;mockobjects:mockobjects,mockobjects:mockobjects-core;org.jmock:jmock;jmock:jmock;org.jmock:jmock-junit4;mockobjects:mockobjects
mongo-java-driver,neo4j,1,org.mongodb:mongo-java-driver,org.mongodb:mongo-java-driver;org.neo4j:neo4j
mongo-java-driver,hsqldb,1,org.mongodb:mongo-java-driver,org.mongodb:mongo-java-driver;org.hsqldb:hsqldb;hsqldb:hsqldb
mongo-java-driver,h2,1,org.mongodb:mongo-java-driver,org.mongodb:mongo-java-driver;com.h2database:h2
mvel2,stringtemplate,1,org.mvel:mvel2,org.antlr:stringtemplate;antlr:stringtemplate;org.mvel:mvel2;org.mule.mvel:mule-mvel2
nanoxml,xmlParserAPIs,1,be.cyberelf.nanoxml:nanoxml,xerces:xmlParserAPIs;be.cyberelf.nanoxml:nanoxml;xml-apis:xmlParserAPIs
nanoxml,jdom,1,be.cyberelf.nanoxml:nanoxml,jdom:jdom;org.jdom:jdom2;be.cyberelf.nanoxml:nanoxml;org.jdom:jdom
nekohtml,tagsoup,1,net.sourceforge.nekohtml:nekohtml;nekohtml:nekohtml,org.ccil.cowan.tagsoup:tagsoup;tagsoup:tagsoup;net.sourceforge.nekohtml:nekohtml;nekohtml:nekohtml
nekohtml,jericho-html,1,net.sourceforge.nekohtml:nekohtml;nekohtml:nekohtml,net.sourceforge.nekohtml:nekohtml;net.htmlparser.jericho:jericho-html;net.htmlparser:jericho-html;nekohtml:nekohtml
neo4j,postgresql,1,org.neo4j:neo4j,postgresql:postgresql;org.neo4j:neo4j;org.postgresql:postgresql
neo4j,mongo-java-driver,1,org.neo4j:neo4j,org.mongodb:mongo-java-driver;org.neo4j:neo4j
opennlp,stanford-corenlp,1,org.apache.opennlp:opennlp;org.apache.opennlp:opennlp-tools,edu.stanford.nlp:stanford-corenlp;org.apache.opennlp:opennlp;org.apache.opennlp:opennlp-tools
org.json,gson,28,org.json:json,org.json:json;com.google.code.gson:gson
org.json,jackson,26,org.json:json,org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;org.json:json;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
org.json,json-simple,7,org.json:json,com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;org.json:json
org.json,fastjson,5,org.json:json,com.alibaba:fastjson;org.json:json
org.json,json-smart,2,org.json:json,net.minidev:json-smart;org.json:json
org.json,jettison,2,org.json:json,org.codehaus.jettison:jettison;org.json:json
org.json,xstream,1,org.json:json,xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;org.json:json;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
org.json,json-lib,1,org.json:json,com.hynnet:json-lib;org.kohsuke.stapler:json-lib;org.json:json;net.sf.json-lib:json-lib
org.json,flexjson,1,org.json:json,net.sf.flexjson:flexjson;org.json:json
parboiled,antlr,1,org.parboiled:parboiled-java;org.parboiled:parboiled-core,antlr:antlr;org.antlr:antlr;org.parboiled:parboiled-java;org.antlr:antlr4;org.antlr:antlr4-runtime;org.antlr:antlr-runtime;org.parboiled:parboiled-core
pdfbox,itext,1,org.apache.pdfbox:pdfbox;pdfbox:pdfbox,com.itextpdf:itextpdf;itext:itext;org.apache.pdfbox:pdfbox;pdfbox:pdfbox;com.lowagie:itext
perf4j,speed4j,1,org.perf4j:perf4j,com.ecyrd.speed4j:speed4j;org.perf4j:perf4j
Permissions,PermissionsEx,9,com.liferay:com.liferay.application.list.user.personal.site.permissions,com.paypal.sdk:permissionssdk;de.ebf:spring-granular-permissions;org.jasig.portal:uPortal-security-permissions;com.liferay:com.liferay.application.list.user.personal.site.permissions
postgresql,derby,2,postgresql:postgresql;org.postgresql:postgresql,postgresql:postgresql;org.apache.derby:derbyclient;org.postgresql:postgresql;org.apache.derby:derby
postgresql,sqlite-jdbc,1,postgresql:postgresql;org.postgresql:postgresql,org.wisdom-framework:sqlite-jdbc;postgresql:postgresql;org.postgresql:postgresql;org.xerial:sqlite-jdbc
postgresql,h2,1,postgresql:postgresql;org.postgresql:postgresql,postgresql:postgresql;org.postgresql:postgresql;com.h2database:h2
powermock,mockito,1,org.powermock:powermock;org.powermock:powermock-core;org.powermock:powermock-api,org.powermock:powermock;org.powermock:powermock-api-mockito;org.powermock:powermock-core;org.powermock:powermock-module-junit4;org.powermock:powermock-api;org.mockito:mockito-core;org.mockito:mockito-all
powermock,jmockit,1,org.powermock:powermock;org.powermock:powermock-core;org.powermock:powermock-api,org.powermock:powermock;com.googlecode.jmockit:jmockit;mockit:jmockit;org.powermock:powermock-api-mockito;org.powermock:powermock-core;org.powermock:powermock-module-junit4;org.powermock:powermock-api;org.jmockit:jmockit
reflectasm,reflections,1,com.esotericsoftware:reflectasm;com.esotericsoftware.reflectasm:reflectasm,com.esotericsoftware:reflectasm;org.reflections:reflections;com.esotericsoftware.reflectasm:reflectasm
reflections,scannotation,2,org.reflections:reflections,net.sf.scannotation:scannotation;org.reflections:reflections;org.scannotation:scannotation
reflections,guice,2,org.reflections:reflections,com.google.inject:guice;org.sonatype.sisu:sisu-guice;org.reflections:reflections
reflections,objenesis,1,org.reflections:reflections,org.objenesis:objenesis;org.reflections:reflections
reflections,iogi,1,org.reflections:reflections,br.com.caelum:iogi;org.reflections:reflections
samskivert,guava,1,com.samskivert:samskivert,com.samskivert:samskivert;com.google.guava:guava
saxon,xerces,1,saxon:saxon;net.sourceforge.saxon:saxon;net.sf.saxon:saxon,saxon:saxon;net.sourceforge.saxon:saxon;xerces:xercesImpl;net.sf.saxon:saxon;xerces:xerces
saxon,xalan,1,saxon:saxon;net.sourceforge.saxon:saxon;net.sf.saxon:saxon,saxon:saxon;net.sourceforge.saxon:saxon;xalan:xalan;net.sf.saxon:saxon
saxon,dom4j,1,saxon:saxon;net.sourceforge.saxon:saxon;net.sf.saxon:saxon,org.dom4j:dom4j;saxon:saxon;net.sourceforge.saxon:saxon;net.sf.saxon:saxon;dom4j:dom4j
scannotation,reflections,1,net.sf.scannotation:scannotation;org.scannotation:scannotation,net.sf.scannotation:scannotation;org.reflections:reflections;org.scannotation:scannotation
scannotation,groovy,1,net.sf.scannotation:scannotation;org.scannotation:scannotation,groovy:groovy-all;net.sf.scannotation:scannotation;org.codehaus.groovy:groovy;org.scannotation:scannotation;groovy:groovy;org.codehaus.groovy:groovy-all
scribe,signpost,1,org.scribe:scribe,oauth.signpost:signpost-core;org.scribe:scribe
signpost,scribe,2,oauth.signpost:signpost-core,oauth.signpost:signpost-core;org.scribe:scribe
signpost,httpcore,2,oauth.signpost:signpost-core,oauth.signpost:signpost-core;org.apache.httpcomponents:httpmime;org.apache.httpcomponents:httpcore
signpost,httpclient,2,oauth.signpost:signpost-core,oauth.signpost:signpost-core;org.apache.httpcomponents:httpmime;org.apache.httpcomponents:httpclient
simple-xml,xmlParserAPIs,2,org.simpleframework:simple-xml,xerces:xmlParserAPIs;org.simpleframework:simple-xml;xml-apis:xmlParserAPIs
simple-xml,xpp3,1,org.simpleframework:simple-xml,xpp3:xpp3;org.simpleframework:simple-xml;org.ogce:xpp3
slf4j,log4j,19,org.slf4j:slf4j-api,org.slf4j:jcl-over-slf4j;org.slf4j:slf4j-nop;org.slf4j:slf4j-jcl;org.slf4j:slf4j-simple;org.slf4j:slf4j-ext;org.slf4j:slf4j-api;org.slf4j:slf4j-jdk14;org.slf4j:slf4j-log4j12;org.slf4j:slf4j-site;org.slf4j:slf4j-android;org.apache.logging.log4j:log4j-api;org.apache.logging.log4j:log4j-slf4j-impl;org.apache.logging.log4j:log4j-core;log4j:log4j;org.slf4j:log4j-over-slf4j
slf4j,commons-logging,9,org.slf4j:slf4j-api,org.slf4j:jcl-over-slf4j;org.slf4j:slf4j-nop;org.slf4j:slf4j-jcl;org.slf4j:slf4j-simple;org.slf4j:slf4j-ext;org.slf4j:slf4j-api;commons-logging:commons-logging;org.slf4j:slf4j-jdk14;org.slf4j:slf4j-log4j12;org.slf4j:slf4j-site;org.slf4j:slf4j-android;org.apache.logging.log4j:log4j-slf4j-impl;commons-logging:commons-logging-api;org.slf4j:log4j-over-slf4j
slick,lwjgl,1,org.slick2d:slick2d-core,org.slick2d:slick2d-core;org.lwjgl:lwjgl;org.lwjgl.lwjgl:lwjgl
solder,deltaspike,1,org.jboss.solder:solder-api,org.jboss.solder:solder-impl;org.apache.deltaspike.core:deltaspike-core-api;org.apache.deltaspike.core:deltaspike-core-impl;org.jboss.solder:solder-api
solr,lucene,1,org.apache.solr:solr,org.apache.lucene:lucene-core;org.apache.solr:solr
solr,elasticsearch,1,org.apache.solr:solr,org.elasticsearch:elasticsearch-core;org.elasticsearch:elasticsearch;org.apache.solr:solr
spring,guice,7,,
spring,groovy,2,,
sqlite-jdbc,h2,3,org.xerial:sqlite-jdbc,org.wisdom-framework:sqlite-jdbc;com.h2database:h2;org.xerial:sqlite-jdbc
sqlite-jdbc,postgresql,1,org.xerial:sqlite-jdbc,org.wisdom-framework:sqlite-jdbc;postgresql:postgresql;org.postgresql:postgresql;org.xerial:sqlite-jdbc
sqlite-jdbc,hsqldb,1,org.xerial:sqlite-jdbc,org.wisdom-framework:sqlite-jdbc;org.hsqldb:hsqldb;org.xerial:sqlite-jdbc;hsqldb:hsqldb
sqljet,sqlite-jdbc,1,org.tmatesoft.sqljet:sqljet,org.wisdom-framework:sqlite-jdbc;org.tmatesoft.sqljet:sqljet;org.xerial:sqlite-jdbc
stanford-corenlp,opennlp,2,edu.stanford.nlp:stanford-corenlp,edu.stanford.nlp:stanford-corenlp;org.apache.opennlp:opennlp;org.apache.opennlp:opennlp-tools
stax-utils,xmltooling,2,net.java.dev.stax-utils:stax-utils,net.java.dev.stax-utils:stax-utils;org.opensaml:xmltooling
stax-utils,xmlParserAPIs,2,net.java.dev.stax-utils:stax-utils,net.java.dev.stax-utils:stax-utils;xerces:xmlParserAPIs;xml-apis:xmlParserAPIs
stax-utils,wstx-asl,1,net.java.dev.stax-utils:stax-utils,net.java.dev.stax-utils:stax-utils;org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl
stax-utils,stax2-api,1,net.java.dev.stax-utils:stax-utils,net.java.dev.stax-utils:stax-utils;org.codehaus.woodstox:stax2-api
stringtemplate,mvel2,1,org.antlr:stringtemplate;antlr:stringtemplate,org.antlr:stringtemplate;antlr:stringtemplate;org.mvel:mvel2;org.mule.mvel:mule-mvel2
svenson,gson,1,com.google.code.svenson:svenson,com.google.code.svenson:svenson;com.google.code.gson:gson
swing-layout,timingframework,1,org.swinglabs:swing-layout,org.swinglabs:swing-layout;net.java.dev.timingframework:timingframework
swing-layout,swingx,1,org.swinglabs:swing-layout,org.swinglabs.swingx:swingx-core;org.swinglabs:swing-layout;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx;org.swinglabs:swingx-core
swing-layout,jide-oss,1,org.swinglabs:swing-layout,org.swinglabs:swing-layout;com.jidesoft:jide-oss
swing-layout,jgoodies,1,org.swinglabs:swing-layout,org.swinglabs:swing-layout;com.jgoodies:jgoodies-forms;com.jgoodies:jgoodies-common
swingx,jgrapht,2,org.swinglabs.swingx:swingx-core;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx;org.swinglabs:swingx-core,org.swinglabs.swingx:swingx-core;org.jgrapht:jgrapht;org.javabits.jgrapht:jgrapht;jgrapht:jgrapht;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx;org.jgrapht:jgrapht-core;org.swinglabs:swingx-core
swingx,jgoodies,1,org.swinglabs.swingx:swingx-core;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx;org.swinglabs:swingx-core,org.swinglabs.swingx:swingx-core;com.jgoodies:jgoodies-forms;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx;org.swinglabs:swingx-core;com.jgoodies:jgoodies-common
testng,junit,27,org.testng:testng,org.testng:testng;org.jboss.arquillian.junit:arquillian-junit-container;junit:junit;org.junit.jupiter:junit-jupiter-api;org.junit.vintage:junit-vintage-engine;org.junit.jupiter:junit-jupiter-engine
trove4j,guava,2,net.sf.trove4j:trove4j,net.sf.trove4j:trove4j;com.google.guava:guava
velocity,freemarker,2,org.apache.velocity:velocity;velocity:velocity,org.apache.velocity:velocity;freemarker:freemarker;velocity:velocity;org.freemarker:freemarker;com.netflix.Nicobar:nicobar-manager
